id,coursename,instructor,room,from_time,to_time,type,day,date,subgroup_name,group_name
1,Software Project,Nursultan Askarbekuly,108,09:00,10:30,lec,Monday,2023-07-17,B22-CS-01,BS - Year 1
2,Software Project,Nursultan Askarbekuly,108,10:40,12:10,tut,Monday,2023-07-17,B22-CS-01,BS - Year 1
3,Software Project,Daniel Elambo Atonge,303,12:40,14:10,lab,Monday,2023-07-17,B22-CS-01,BS - Year 1
4,Theoretical sports -Mental Health,Eleonora Ilina,"108 (ONLY ON 20/06,27/06)",10:40,12:10,lec,Tuesday,2023-07-18,B22-CS-01,BS - Year 1
5,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-07-19,B22-CS-01,BS - Year 1
6,Theoretical sports -Mental Health,Eleonora Ilina,"108 (ONLY ON 21/06,28/06)",10:40,12:10,lec,Wednesday,2023-07-19,B22-CS-01,BS - Year 1
7,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-07-20,B22-CS-01,BS - Year 1
8,Theoretical sports -Mental Health,Eleonora Ilina,108 (ONLY ON 22/06),10:40,12:10,lec,Thursday,2023-07-20,B22-CS-01,BS - Year 1
9,Software Project,Nursultan Askarbekuly,108,09:00,10:30,lec,Monday,2023-07-24,B22-CS-02,BS - Year 1
10,Software Project,Nursultan Askarbekuly,108,10:40,12:10,tut,Monday,2023-07-24,B22-CS-02,BS - Year 1
11,Software Project,Daniel Elambo Atonge,303,14:20,15:50,lab,Monday,2023-07-24,B22-CS-02,BS - Year 1
12,Theoretical sports -Mental Health,Eleonora Ilina,"108 (ONLY ON 20/06,27/06)",10:40,12:10,lec,Tuesday,2023-07-25,B22-CS-02,BS - Year 1
13,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-07-26,B22-CS-02,BS - Year 1
14,Theoretical sports -Mental Health,Eleonora Ilina,"108 (ONLY ON 21/06,28/06)",10:40,12:10,lec,Wednesday,2023-07-26,B22-CS-02,BS - Year 1
15,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-07-27,B22-CS-02,BS - Year 1
16,Theoretical sports -Mental Health,Eleonora Ilina,108 (ONLY ON 22/06),10:40,12:10,lec,Thursday,2023-07-27,B22-CS-02,BS - Year 1
17,Software Project,Nursultan Askarbekuly,108,09:00,10:30,lec,Monday,2023-07-31,B22-CS-03,BS - Year 1
